2024-05-09 19:19:11 status unpacked diffutils:amd64 1:3.8-4
2024-05-09 19:19:12 upgrade dpkg:amd64 1.21.22 1.21.22
2024-05-09 19:19:12 status half-configured dpkg:amd64 1.21.22
2024-05-09 19:19:13 status unpacked dpkg:amd64 1.21.22
2024-05-09 19:19:13 status half-installed dpkg:amd64 1.21.22
2024-05-09 19:19:13 status unpacked dpkg:amd64 1.21.22
2024-05-09 19:19:14 install e2fsprogs:amd64 <none> 1.47.0-2
2024-05-09 19:19:14 status half-installed e2fsprogs:amd64 1.47.0-2
2024-05-09 19:19:14 status unpacked e2fsprogs:amd64 1.47.0-2
2024-05-09 19:19:14 install findutils:amd64 <none> 4.9.0-4
2024-05-09 19:19:14 status half-installed findutils:amd64 4.9.0-4
2024-05-09 19:19:15 status unpacked findutils:amd64 4.9.0-4
2024-05-09 19:19:15 install gcc-12-base:amd64 <none> 12.2.0-14
2024-05-09 19:19:15 status half-installed gcc-12-base:amd64 12.2.0-14
2024-05-09 19:19:15 status unpacked gcc-12-base:amd64 12.2.0-14
2024-05-09 19:19:15 install gpgv:amd64 <none> 2.2.40-1.1
2024-05-09 19:19:15 status half-installed gpgv:amd64 2.2.40-1.1
2024-05-09 19:19:16 status unpacked gpgv:amd64 2.2.40-1.1
2024-05-09 19:19:16 install grep:amd64 <none> 3.8-5
2024-05-09 19:19:16 status half-installed grep:amd64 3.8-5
2024-05-09 19:19:16 status unpacked grep:amd64 3.8-5
2024-05-09 19:19:17 install gzip:amd64 <none> 1.12-1
2024-05-09 19:19:17 status half-installed gzip:amd64 1.12-1
2024-05-09 19:19:17 status unpacked gzip:amd64 1.12-1
2024-05-09 19:19:17 install hostname:amd64 <none> 3.23+nmu1
2024-05-09 19:19:17 status half-installed hostname:amd64 3.23+nmu1
2024-05-09 19:19:18 status unpacked hostname:amd64 3.23+nmu1
2024-05-09 19:19:18 install init-system-helpers:all <none> 1.65.2
2024-05-09 19:19:18 status half-installed init-system-helpers:all 1.65.2
2024-05-09 19:19:18 status unpacked init-system-helpers:all 1.65.2
2024-05-09 19:19:18 install libacl1:amd64 <none> 2.3.1-3
2024-05-09 19:19:18 status half-installed libacl1:amd64 2.3.1-3
2024-05-09 19:19:19 status unpacked libacl1:amd64 2.3.1-3
2024-05-09 19:19:19 install libapt-pkg6.0:amd64 <none> 2.6.1
2024-05-09 19:19:19 status half-installed libapt-pkg6.0:amd64 2.6.1
2024-05-09 19:19:20 status unpacked libapt-pkg6.0:amd64 2.6.1
2024-05-09 19:19:21 install libattr1:amd64 <none> 1:2.5.1-4
2024-05-09 19:19:21 status half-installed libattr1:amd64 1:2.5.1-4
2024-05-09 19:19:21 status unpacked libattr1:amd64 1:2.5.1-4
2024-05-09 19:19:21 install libaudit-common:all <none> 1:3.0.9-1
2024-05-09 19:19:21 status half-installed libaudit-common:all 1:3.0.9-1
2024-05-09 19:19:21 status unpacked libaudit-common:all 1:3.0.9-1
2024-05-09 19:19:22 install libaudit1:amd64 <none> 1:3.0.9-1
2024-05-09 19:19:22 status half-installed libaudit1:amd64 1:3.0.9-1
2024-05-09 19:19:22 status unpacked libaudit1:amd64 1:3.0.9-1
2024-05-09 19:19:23 install libblkid1:amd64 <none> 2.38.1-5+b1
2024-05-09 19:19:23 status half-installed libblkid1:amd64 2.38.1-5+b1
2024-05-09 19:19:23 status unpacked libblkid1:amd64 2.38.1-5+b1
2024-05-09 19:19:26 install libbz2-1.0:amd64 <none> 1.0.8-5+b1
2024-05-09 19:19:26 status half-installed libbz2-1.0:amd64 1.0.8-5+b1
2024-05-09 19:19:26 status unpacked libbz2-1.0:amd64 1.0.8-5+b1
2024-05-09 19:19:27 install libc-bin:amd64 <none> 2.36-9+deb12u4
2024-05-09 19:19:27 status half-installed libc-bin:amd64 2.36-9+deb12u4
2024-05-09 19:19:27 status unpacked libc-bin:amd64 2.36-9+deb12u4
2024-05-09 19:19:28 upgrade libc6:amd64 2.36-9+deb12u4 2.36-9+deb12u4
2024-05-09 19:19:28 status half-configured libc6:amd64 2.36-9+deb12u4
2024-05-09 19:19:28 status unpacked libc6:amd64 2.36-9+deb12u4
2024-05-09 19:19:28 status half-installed libc6:amd64 2.36-9+deb12u4
2024-05-09 19:19:29 status unpacked libc6:amd64 2.36-9+deb12u4
2024-05-09 19:19:30 install libcap-ng0:amd64 <none> 0.8.3-1+b3
2024-05-09 19:19:30 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2024-05-09 19:19:30 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2024-05-09 19:19:30 install libcap2:amd64 <none> 1:2.66-4
2024-05-09 19:19:30 status half-installed libcap2:amd64 1:2.66-4
2024-05-09 19:19:30 status unpacked libcap2:amd64 1:2.66-4
2024-05-09 19:19:31 install libcom-err2:amd64 <none> 1.47.0-2
2024-05-09 19:19:31 status half-installed libcom-err2:amd64 1.47.0-2
2024-05-09 19:19:31 status unpacked libcom-err2:amd64 1.47.0-2
2024-05-09 19:19:31 install libcrypt1:amd64 <none> 1:4.4.33-2
2024-05-09 19:19:31 status half-installed libcrypt1:amd64 1:4.4.33-2
2024-05-09 19:19:32 status unpacked libcrypt1:amd64 1:4.4.33-2
2024-05-09 19:19:32 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
