2024-05-11 14:54:06 status unpacked diffutils:amd64 1:3.8-4
2024-05-11 14:54:07 upgrade dpkg:amd64 1.21.22 1.21.22
2024-05-11 14:54:07 status half-configured dpkg:amd64 1.21.22
2024-05-11 14:54:07 status unpacked dpkg:amd64 1.21.22
2024-05-11 14:54:07 status half-installed dpkg:amd64 1.21.22
2024-05-11 14:54:07 status unpacked dpkg:amd64 1.21.22
2024-05-11 14:54:10 install e2fsprogs:amd64 <none> 1.47.0-2
2024-05-11 14:54:10 status half-installed e2fsprogs:amd64 1.47.0-2
2024-05-11 14:54:14 status unpacked e2fsprogs:amd64 1.47.0-2
2024-05-11 14:54:15 install findutils:amd64 <none> 4.9.0-4
2024-05-11 14:54:15 status half-installed findutils:amd64 4.9.0-4
2024-05-11 14:54:18 status unpacked findutils:amd64 4.9.0-4
2024-05-11 14:54:18 install gcc-12-base:amd64 <none> 12.2.0-14
2024-05-11 14:54:18 status half-installed gcc-12-base:amd64 12.2.0-14
2024-05-11 14:54:18 status unpacked gcc-12-base:amd64 12.2.0-14
2024-05-11 14:54:18 install gpgv:amd64 <none> 2.2.40-1.1
2024-05-11 14:54:18 status half-installed gpgv:amd64 2.2.40-1.1
2024-05-11 14:54:19 status unpacked gpgv:amd64 2.2.40-1.1
2024-05-11 14:54:19 install grep:amd64 <none> 3.8-5
2024-05-11 14:54:19 status half-installed grep:amd64 3.8-5
2024-05-11 14:54:19 status unpacked grep:amd64 3.8-5
2024-05-11 14:54:19 install gzip:amd64 <none> 1.12-1
2024-05-11 14:54:19 status half-installed gzip:amd64 1.12-1
2024-05-11 14:54:20 status unpacked gzip:amd64 1.12-1
2024-05-11 14:54:20 install hostname:amd64 <none> 3.23+nmu1
2024-05-11 14:54:20 status half-installed hostname:amd64 3.23+nmu1
2024-05-11 14:54:20 status unpacked hostname:amd64 3.23+nmu1
2024-05-11 14:54:20 install init-system-helpers:all <none> 1.65.2
2024-05-11 14:54:20 status half-installed init-system-helpers:all 1.65.2
2024-05-11 14:54:20 status unpacked init-system-helpers:all 1.65.2
2024-05-11 14:54:21 install libacl1:amd64 <none> 2.3.1-3
2024-05-11 14:54:21 status half-installed libacl1:amd64 2.3.1-3
2024-05-11 14:54:21 status unpacked libacl1:amd64 2.3.1-3
2024-05-11 14:54:21 install libapt-pkg6.0:amd64 <none> 2.6.1
2024-05-11 14:54:21 status half-installed libapt-pkg6.0:amd64 2.6.1
2024-05-11 14:54:22 status unpacked libapt-pkg6.0:amd64 2.6.1
2024-05-11 14:54:22 install libattr1:amd64 <none> 1:2.5.1-4
2024-05-11 14:54:22 status half-installed libattr1:amd64 1:2.5.1-4
2024-05-11 14:54:22 status unpacked libattr1:amd64 1:2.5.1-4
2024-05-11 14:54:22 install libaudit-common:all <none> 1:3.0.9-1
2024-05-11 14:54:22 status half-installed libaudit-common:all 1:3.0.9-1
2024-05-11 14:54:23 status unpacked libaudit-common:all 1:3.0.9-1
2024-05-11 14:54:23 install libaudit1:amd64 <none> 1:3.0.9-1
2024-05-11 14:54:23 status half-installed libaudit1:amd64 1:3.0.9-1
2024-05-11 14:54:23 status unpacked libaudit1:amd64 1:3.0.9-1
2024-05-11 14:54:23 install libblkid1:amd64 <none> 2.38.1-5+b1
2024-05-11 14:54:23 status half-installed libblkid1:amd64 2.38.1-5+b1
2024-05-11 14:54:24 status unpacked libblkid1:amd64 2.38.1-5+b1
2024-05-11 14:54:24 install libbz2-1.0:amd64 <none> 1.0.8-5+b1
2024-05-11 14:54:24 status half-installed libbz2-1.0:amd64 1.0.8-5+b1
2024-05-11 14:54:24 status unpacked libbz2-1.0:amd64 1.0.8-5+b1
2024-05-11 14:54:25 install libc-bin:amd64 <none> 2.36-9+deb12u4
2024-05-11 14:54:25 status half-installed libc-bin:amd64 2.36-9+deb12u4
2024-05-11 14:54:25 status unpacked libc-bin:amd64 2.36-9+deb12u4
2024-05-11 14:54:25 upgrade libc6:amd64 2.36-9+deb12u4 2.36-9+deb12u4
2024-05-11 14:54:25 status half-configured libc6:amd64 2.36-9+deb12u4
2024-05-11 14:54:25 status unpacked libc6:amd64 2.36-9+deb12u4
2024-05-11 14:54:26 status half-installed libc6:amd64 2.36-9+deb12u4
2024-05-11 14:54:26 status unpacked libc6:amd64 2.36-9+deb12u4
2024-05-11 14:54:27 install libcap-ng0:amd64 <none> 0.8.3-1+b3
2024-05-11 14:54:27 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2024-05-11 14:54:27 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2024-05-11 14:54:27 install libcap2:amd64 <none> 1:2.66-4
2024-05-11 14:54:27 status half-installed libcap2:amd64 1:2.66-4
2024-05-11 14:54:27 status unpacked libcap2:amd64 1:2.66-4
2024-05-11 14:54:28 install libcom-err2:amd64 <none> 1.47.0-2
2024-05-11 14:54:28 status half-installed libcom-err2:amd64 1.47.0-2
2024-05-11 14:54:28 status unpacked libcom-err2:amd64 1.47.0-2
2024-05-11 14:54:28 install libcrypt1:amd64 <none> 1:4.4.33-2
2024-05-11 14:54:28 status half-installed libcrypt1:amd64 1:4.4.33-2
2024-05-11 14:54:28 status unpacked libcrypt1:amd64 1:4.4.33-2
2024-05-11 14:54:29 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2024-05-11 14:54:29 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2024-05-11 14:54:29 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2024-05-11 14:54:29 install libdebconfclient0:amd64 <none> 0.270
2024-05-11 14:54:29 status half-installed libdebconfclient0:amd64 0.270
2024-05-11 14:54:29 status unpacked libdebconfclient0:amd64 0.270
2024-05-11 14:54:30 install libext2fs2:amd64 <none> 1.47.0-2
2024-05-11 14:54:30 status half-installed libext2fs2:amd64 1.47.0-2
2024-05-11 14:54:30 status unpacked libext2fs2:amd64 1.47.0-2
2024-05-11 14:54:30 install libffi8:amd64 <none> 3.4.4-1
2024-05-11 14:54:30 status half-installed libffi8:amd64 3.4.4-1
2024-05-11 14:54:30 status unpacked libffi8:amd64 3.4.4-1
2024-05-11 14:54:31 install libfile-find-rule-perl:all <none> 0.34-3
2024-05-11 14:54:31 status half-installed libfile-find-rule-perl:all 0.34-3
2024-05-11 14:54:31 status unpacked libfile-find-rule-perl:all 0.34-3
2024-05-11 14:54:31 install libgcc-s1:amd64 <none> 12.2.0-14
2024-05-11 14:54:31 status half-installed libgcc-s1:amd64 12.2.0-14
2024-05-11 14:54:31 status unpacked libgcc-s1:amd64 12.2.0-14
2024-05-11 14:54:32 install libgcrypt20:amd64 <none> 1.10.1-3
2024-05-11 14:54:32 status half-installed libgcrypt20:amd64 1.10.1-3
2024-05-11 14:54:32 status unpacked libgcrypt20:amd64 1.10.1-3
2024-05-11 14:54:32 install libgdbm-compat4:amd64 <none> 1.23-3
2024-05-11 14:54:32 status half-installed libgdbm-compat4:amd64 1.23-3
2024-05-11 14:54:33 status unpacked libgdbm-compat4:amd64 1.23-3
2024-05-11 14:54:33 install libgdbm6:amd64 <none> 1.23-3
2024-05-11 14:54:33 status half-installed libgdbm6:amd64 1.23-3
2024-05-11 14:54:33 status unpacked libgdbm6:amd64 1.23-3
2024-05-11 14:54:33 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2024-05-11 14:54:33 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2024-05-11 14:54:34 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2024-05-11 14:54:34 install libgnutls30:amd64 <none> 3.7.9-2+deb12u2
2024-05-11 14:54:34 status half-installed libgnutls30:amd64 3.7.9-2+deb12u2
2024-05-11 14:54:34 status unpacked libgnutls30:amd64 3.7.9-2+deb12u2
2024-05-11 14:54:35 install libgpg-error0:amd64 <none> 1.46-1
2024-05-11 14:54:35 status half-installed libgpg-error0:amd64 1.46-1
2024-05-11 14:54:35 status unpacked libgpg-error0:amd64 1.46-1
2024-05-11 14:54:35 install libhogweed6:amd64 <none> 3.8.1-2
2024-05-11 14:54:35 status half-installed libhogweed6:amd64 3.8.1-2
2024-05-11 14:54:35 status unpacked libhogweed6:amd64 3.8.1-2
2024-05-11 14:54:36 install libidn2-0:amd64 <none> 2.3.3-1+b1
