2024-05-12 13:49:56 status unpacked diffutils:amd64 1:3.8-4
2024-05-12 13:49:56 upgrade dpkg:amd64 1.21.22 1.21.22
2024-05-12 13:49:56 status half-configured dpkg:amd64 1.21.22
2024-05-12 13:49:56 status unpacked dpkg:amd64 1.21.22
2024-05-12 13:49:56 status half-installed dpkg:amd64 1.21.22
2024-05-12 13:49:57 status unpacked dpkg:amd64 1.21.22
2024-05-12 13:49:57 install e2fsprogs:amd64 <none> 1.47.0-2
2024-05-12 13:49:57 status half-installed e2fsprogs:amd64 1.47.0-2
2024-05-12 13:49:57 status unpacked e2fsprogs:amd64 1.47.0-2
2024-05-12 13:49:58 install findutils:amd64 <none> 4.9.0-4
2024-05-12 13:49:58 status half-installed findutils:amd64 4.9.0-4
2024-05-12 13:49:58 status unpacked findutils:amd64 4.9.0-4
2024-05-12 13:49:58 install gcc-12-base:amd64 <none> 12.2.0-14
2024-05-12 13:49:58 status half-installed gcc-12-base:amd64 12.2.0-14
2024-05-12 13:49:58 status unpacked gcc-12-base:amd64 12.2.0-14
2024-05-12 13:49:59 install gpgv:amd64 <none> 2.2.40-1.1
2024-05-12 13:49:59 status half-installed gpgv:amd64 2.2.40-1.1
2024-05-12 13:49:59 status unpacked gpgv:amd64 2.2.40-1.1
2024-05-12 13:49:59 install grep:amd64 <none> 3.8-5
2024-05-12 13:49:59 status half-installed grep:amd64 3.8-5
2024-05-12 13:49:59 status unpacked grep:amd64 3.8-5
2024-05-12 13:50:00 install gzip:amd64 <none> 1.12-1
2024-05-12 13:50:00 status half-installed gzip:amd64 1.12-1
2024-05-12 13:50:00 status unpacked gzip:amd64 1.12-1
2024-05-12 13:50:00 install hostname:amd64 <none> 3.23+nmu1
2024-05-12 13:50:00 status half-installed hostname:amd64 3.23+nmu1
2024-05-12 13:50:00 status unpacked hostname:amd64 3.23+nmu1
2024-05-12 13:50:01 install init-system-helpers:all <none> 1.65.2
2024-05-12 13:50:01 status half-installed init-system-helpers:all 1.65.2
2024-05-12 13:50:01 status unpacked init-system-helpers:all 1.65.2
2024-05-12 13:50:01 install libacl1:amd64 <none> 2.3.1-3
2024-05-12 13:50:01 status half-installed libacl1:amd64 2.3.1-3
2024-05-12 13:50:01 status unpacked libacl1:amd64 2.3.1-3
2024-05-12 13:50:02 install libapt-pkg6.0:amd64 <none> 2.6.1
2024-05-12 13:50:02 status half-installed libapt-pkg6.0:amd64 2.6.1
2024-05-12 13:50:02 status unpacked libapt-pkg6.0:amd64 2.6.1
2024-05-12 13:50:02 install libattr1:amd64 <none> 1:2.5.1-4
2024-05-12 13:50:02 status half-installed libattr1:amd64 1:2.5.1-4
2024-05-12 13:50:02 status unpacked libattr1:amd64 1:2.5.1-4
2024-05-12 13:50:03 install libaudit-common:all <none> 1:3.0.9-1
2024-05-12 13:50:03 status half-installed libaudit-common:all 1:3.0.9-1
2024-05-12 13:50:03 status unpacked libaudit-common:all 1:3.0.9-1
2024-05-12 13:50:03 install libaudit1:amd64 <none> 1:3.0.9-1
2024-05-12 13:50:03 status half-installed libaudit1:amd64 1:3.0.9-1
2024-05-12 13:50:03 status unpacked libaudit1:amd64 1:3.0.9-1
2024-05-12 13:50:04 install libblkid1:amd64 <none> 2.38.1-5+b1
2024-05-12 13:50:04 status half-installed libblkid1:amd64 2.38.1-5+b1
2024-05-12 13:50:04 status unpacked libblkid1:amd64 2.38.1-5+b1
2024-05-12 13:50:04 install libbz2-1.0:amd64 <none> 1.0.8-5+b1
2024-05-12 13:50:04 status half-installed libbz2-1.0:amd64 1.0.8-5+b1
2024-05-12 13:50:04 status unpacked libbz2-1.0:amd64 1.0.8-5+b1
2024-05-12 13:50:05 install libc-bin:amd64 <none> 2.36-9+deb12u4
2024-05-12 13:50:05 status half-installed libc-bin:amd64 2.36-9+deb12u4
2024-05-12 13:50:05 status unpacked libc-bin:amd64 2.36-9+deb12u4
2024-05-12 13:50:06 upgrade libc6:amd64 2.36-9+deb12u4 2.36-9+deb12u4
2024-05-12 13:50:06 status half-configured libc6:amd64 2.36-9+deb12u4
